Small Unit Installation Postcode,Previous Years (2001-2020) - Installations Quantity,Previous Years (2001-2020) - SGU Rated Output In kW,Jan 2021 - Installations Quantity,Jan 2021 - SGU Rated Output In kW,Feb 2021 - Installations Quantity,Feb 2021 - SGU Rated Output In kW,Mar 2021 - Installations Quantity,Mar 2021 - SGU Rated Output In kW,Apr 2021 - Installations Quantity,Apr 2021 - SGU Rated Output In kW,May 2021 - Installations Quantity,May 2021 - SGU Rated Output In kW,Jun 2021 - Installations Quantity,Jun 2021 - SGU Rated Output In kW,Jul 2021 - Installations Quantity,Jul 2021 - SGU Rated Output In kW,Aug 2021 - Installations Quantity,Aug 2021 - SGU Rated Output In kW,Sep 2021 - Installations Quantity,Sep 2021 - SGU Rated Output In kW,Oct 2021 - Installations Quantity,Oct 2021 - SGU Rated Output In kW,Nov 2021 - Installations Quantity,Nov 2021 - SGU Rated Output In kW,Dec 2021 - Installations Quantity,Dec 2021 - SGU Rated Output In kW,Jan 2022- Installations Quantity,Jan 2022 - SGU Rated Output In kW,Feb 2022- Installations Quantity,Feb 2022 - SGU Rated Output In kW,Mar 2022- Installations Quantity,Mar 2022 - SGU Rated Output In kW,Apr 2022- Installations Quantity,Apr 2022 - SGU Rated Output In kW,May 2022- Installations Quantity,May 2022 - SGU Rated Output In kW,June 2022- Installations Quantity,June 2022 - SGU Rated Output In kW,Installations Quantity Total,SGU Rated Output In kW Total
2804,501,2678.665,11,80.23,7,52.67,5,48.605,4,41.38,4,57.17,13,67.31,8,47.73,4,34.19,9,53.98,5,49.22,11,101.985,10,129.54,11,80.375,5,44.935,3,21.4,3,23,6,42,4,37,624,3691.075
2810,495,2802.153,10,81.26,10,162.68,9,55.045,6,60.97,7,77.06,6,49.26,4,56.26,1,10.36,9,88,4,31.04,4,33.27,3,22.26,2,29.49,4,40.68,3,25.18,4,45,2,26,4,23,587,3718.768
2820,814,4118.923,6,55.625,16,104.52,10,170.295,8,45.11,12,137.32,7,59.48,9,66.65,18,123.53,24,149.195,22,137.24,28,192.65,34,221.25,4,26.61,7,55.165,4,39.56,4,39,4,37,4,24,1035,5802.423
2835,819,3888.96,2,14.66,3,36.63,1,15.54,5,22.48,7,58.11,7,52.42,52,188.49,2,16.39,0,0,4,114.54,2,19.95,1,10.36,1,13.32,7,61.33,1,6.4,42,257,5,53,4,23,965,4852.89
2843,201,1206.12,1,6.6,0,0,0,0,1,6.6,0,0,0,0,1,6.75,0,0,0,0,0,0,0,0,1,6.44,4,23.16,6,36.33,8,54.87,6,55,3,17,4,26,236,1444.92
3038,2112,9147.053,22,153.51,27,170.055,33,443.4,28,196.005,19,168.36,27,188.09,30,210.62,27,201.755,14,103.775,22,171.585,33,251.37,27,386.775,12,86.91,10,73.97,13,86.06,12,130,13,92,4,27,2485,12287.903
3048,1192,5747.839,19,128.02,20,124.68,33,206.3,41,253.81,18,130.34,20,142.36,29,198.06,21,243.865,12,78.01,23,169.135,11,98.37,23,157.195,7,40.47,14,89.73,22,156.91,5,38,11,73,4,18,1525,8093.284
3061,561,9019.94,6,113.53,13,184.785,15,370.46,8,194.52,15,432.63,17,240.055,14,237.67,9,188.905,8,172.535,9,318.66,12,301.535,8,200.41,4,83.955,9,293.1,12,416.72,5,88,4,80,4,82,733,13020.24
3070,1631,6130.603,8,138.53,21,128.32,25,137.36,26,150.375,21,122.595,21,103.815,11,87.37,11,80.36,7,41.98,18,142.755,21,141.17,23,181.535,7,38.7,12,88.44,9,64.82,7,43,8,58,4,20,1891,7899.658
3083,2146,9300.751,49,248.12,29,163.46,33,195.14,37,291.155,21,230.86,26,204.685,30,216.95,25,197.88,17,117.73,22,216.335,30,196.54,29,241.94,7,57.88,18,128.115,17,139.215,11,70,11,78,4,42,2562,12336.306
