Small Unit Installation Postcode,Previous Years (2001-2020) - Installation Quantity,Previous Years (2001-2020) - SGU Output Rated Output in kW,Jan 2021 - Installations Quantity,Jan 2021 - SGU Rated Output In kW,Feb 2021 - Installations Quantity,Feb 2021 - SGU Rated Output In kW,Mar 2021 - Installations Quantity,Mar 2021 - SGU Rated Output In kW,Apr 2021 - Installations Quantity,Apr 2021 - SGU Rated Output In kW,May 2021 - Installations Quantity,May 2021 - SGU Rated Output In kW,June 2021 - Installations Quantity,June 2021 - SGU Rated Output In kW,July 2021 - Installations Quantity,July 2021 - SGU Rated Output In kW,Aug 2021 - Installations Quantity,Aug 2021 - SGU Rated Output In kW,Sep 2021 - Installations Quantity,Sep 2021 - SGU Rated Output In kW,Oct 2021 - Installations Quantity,Oct 2021 - SGU Rated Output In kW,Nov 2021 - Installations Quantity,Nov 2021 - SGU Rated Output In kW,Dec 2021 - Installations Quantity,Dec 2021 - SGU Rated Output In kW,Jan 2022 - Installations Quantity,Jan 2022 - SGU Rated Output In kW,Feb 2022 - Installations Quantity,Feb 2022 - SGU Rated Output In kW,Mar 2022 - Installations Quantity,Mar 2022 - SGU Rated Output in kW,Apr 2022 - Installations Quantity,Apr 2022 - SGU Rated Output in kW,May 2022 - Installations Quantity,May 2022 - SGU Rated Output in kW,June 2022 - Installations Quantity,June 2022 - SGU Rated Output in kW,July 2022 - Installations Quantity,July 2022 - SGU Rated Output in kW,Installations Quantity Total,SGU Rated Output In kW Total
3040,1131,5196.52,12,77.39,7,56.18,14,124.59,10,86.96,11,84.98,10,57.82,7,72.67,9,73.89,5,30.22,8,55.98,11,74.72,16,223.73,12,110.62,13,94.39,10,89.73,7,68,8,60,7,64,1,9.62,1309,6712.09
3041,630,3199.49,5,29.63,7,50.41,15,99.92,9,69.04,10,90.56,4,25.90,17,130.40,4,69.36,4,25.44,8,74.34,7,76.83,9,87.35,2,12.58,4,30.71,0,0.00,3,23,1,7,3,28,1,9.36,743,4138.52
3042,883,4930.05,13,68.03,10,92.48,14,121.78,12,153.72,6,83.46,8,144.32,13,101.84,8,72.09,3,19.95,11,87.10,10,93.34,11,140.71,8,80.00,8,55.43,8,61.80,11,98,2,16,7,49,4,31.24,1050,6500.84
3043,1255,7842.06,13,110.22,10,77.35,10,61.67,14,88.84,13,85.63,14,215.57,13,168.39,11,88.51,13,165.08,12,134.14,17,122.74,20,372.02,4,26.28,4,32.38,8,69.82,6,134,11,92,5,36,8,60.71,1461,9983.90
3044,1290,5278.41,11,60.76,19,118.15,14,111.45,14,89.39,12,73.60,17,114.42,14,81.11,9,44.46,8,43.63,12,77.28,23,148.07,15,120.16,10,72.18,10,77.85,5,44.55,8,57,11,84,9,72,1,6.24,1512,6775.38
3045,7,393.17,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,1,29.70,0,0.00,0,0.00,0,0.00,1,98.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,9,520.87
3046,1551,6280.60,17,112.94,24,153.28,16,107.555,21,114.41,21,107.12,18,140.36,18,105.17,25,147.08,12,78.87,18,126.54,26,167.22,15,54.47,10,57.04,18,104.24,20,129.18,5,127,13,72,6,55,5,33.99,1859,8273.74
3047,1081,5932.30,20,132.16,17,107.26,20,134.96,28,243.24,17,99.19,17,113.84,26,257.33,19,148.75,7,44.76,4,26.55,20,187.03,13,184.57,10,72.70,14,87.61,13,92.36,15,252,7,37,6,38,2,13.23,1356,8204.47
3048,1192,5747.84,19,128.02,20,124.68,33,206.3,41,253.81,18,130.34,20,142.36,29,198.06,21,243.87,12,78.01,23,169.14,11,98.37,23,157.20,7,40.47,14,89.73,23,163.54,5,38,12,79,7,37,7,46.39,1537,8171.73
3049,644,2906.34,13,96.21,9,61.37,16,106.37,8,49.09,4,22.03,10,101.66,6,43.80,9,68.37,4,24.40,9,70.64,8,72.53,6,47.65,3,20.89,6,42.85,12,85.82,6,41,3,66,4,29,4,31.85,784,3988.14
3051,181,1099.61,2,10.89,3,52.18,3,14.06,0,0.00,1,10.80,1,5.18,3,11.33,1,3.52,1,3.20,2,14.01,4,16.94,5,75.59,0,0.00,2,12.78,2,11.66,2,64,1,7,2,10,1,6.64,217,1428.63
3052,102,1113.85,0,0.00,1,26.10,0,0,2,10.36,4,25.32,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2,34.68,4,42.72,2,11.03,2,21.44,0,0.00,1,40,2,87,0,0,0,0.00,122,1412.32
3053,121,1005.39,0,0.00,1,38.60,1,26.1,0,0.00,1,3.70,0,0.00,0,0.00,0,0.00,1,11.10,2,6.88,0,0.00,1,36.00,0,0.00,2,68.97,0,0.00,1,7,0,0,0,0,1,38.86,132,1242.39
3054,292,1156.35,2,7.59,0,0.00,1,2.67,3,15.80,4,23.20,5,22.71,7,42.00,2,10.50,3,17.17,2,10.66,8,42.77,5,21.22,1,2.22,5,25.04,2,7.23,1,7,2,10,1,7,2,13.28,348,1443.55
3055,600,2282.40,7,39.46,6,35.68,9,59.38,5,32.46,8,48.60,1,11.47,9,51.85,4,21.69,1,20.70,5,34.91,13,69.72,3,18.07,4,20.46,6,36.47,3,15.96,4,26,1,5,4,29,3,23.91,696,2883.05
3056,1027,4927.87,7,53.08,9,46.15,13,68.705,30,237.21,16,80.42,10,59.27,10,54.92,14,93.69,3,14.03,39,108.56,15,65.13,12,103.94,9,61.29,16,181.12,7,61.47,11,65,6,34,8,59,1,5.07,1263,6380.78
