Small Unit Installation Postcode,Previous Years (2001-2015) - Installations Quantity,Previous Years (2001-2015) - SGU Rated Output In kW,Jan 2016 - Installations Quantity,Jan 2016 - SGU Rated Output In kW,Feb 2016 - Installations Quantity,Feb 2016 - SGU Rated Output In kW,Mar 2016 - Installations Quantity,Mar 2016 - SGU Rated Output In kW,Apr 2016 - Installations Quantity,Apr 2016 - SGU Rated Output In kW,May 2016 - Installations Quantity,May 2016 - SGU Rated Output In kW,Jun 2016 - Installations Quantity,Jun 2016 - SGU Rated Output In kW,Jul 2016 - Installations Quantity,Jul 2016 - SGU Rated Output In kW,Aug 2016 - Installations Quantity,Aug 2016 - SGU Rated Output In kW,Sep 2016 - Installations Quantity,Sep 2016 - SGU Rated Output In kW,Oct 2016 - Installations Quantity,Oct 2016 - SGU Rated Output In kW,Nov 2016 - Installations Quantity,Nov 2016 - SGU Rated Output In kW,Dec 2016 - Installations Quantity,Dec 2016 - SGU Rated Output In kW,Jan 2017 - Installations Quantity,Jan 2017 - SGU Rated Output In kW,Feb 2017 - Installations Quantity,Feb 2017 - SGU Rated Output In kW,Mar 2017 - Installations Quantity,Mar 2017 - SGU Rated Output In kW,Apr 2017 - Installations Quantity,Apr 2017 - SGU Rated Output In kW,May 2017 - Installations Quantity,May 2017 - SGU Rated Output In kW,Jun 2017 - Installations Quantity,Jun 2017 - SGU Rated Output In kW,Jul 2017 - Installations Quantity,Jul 2017 - SGU Rated Output In kW,Aug 2017 - Installations Quantity,Aug 2017 - SGU Rated Output In kW,Sep 2017 - Installations Quantity,Sep 2017 - SGU Rated Output In kW,Oct 2017 - Installations Quantity,Oct 2017 - SGU Rated Output In kW,Nov 2017 - Installations Quantity,Nov 2017 - SGU Rated Output In kW,Dec 2017 - Installations Quantity,Dec 2017 - SGU Rated Output In kW,Installations Quantity Total,SGU Rated Output In kW Total
2112,644,"1,725.94",3,12.8,2,8.13,3,15.15,2,7.18,4,11.98,4,19.51,2,8.52,2,8.54,3,14.432,1,4.845,6,27.74,8,35.675,3,13.41,6,35.7,7,26.04,2,11.3,4,30.681,5,31.16,7,42.677,7,38.66,3,21.57,8,35.86,6,63.44,2,10.9,744,"2,261.84"
2113,431,"1,456.77",4,18.965,2,12.5,4,43.28,2,13.19,2,35.88,5,25.17,2,5.18,2,6.19,1,5.46,1,7.8,4,114.294,6,53.805,3,11.47,3,12.315,4,19.59,5,30.59,5,28.082,3,75.015,3,12.792,9,135.47,5,25.725,6,114.17,3,21.62,8,71.372,523,"2,356.70"
2114,489,"1,347.50",0,0,4,17.895,3,16.86,1,4.77,4,22,1,5.1,1,2.5,4,16.98,2,10.085,0,0,6,30.31,4,18.96,3,12.275,5,21.13,4,44.06,3,17.38,7,32.74,3,15.69,1,5.4,9,49.64,2,8.405,8,38.36,2,11.04,7,30.99,573,"1,780.07"
2115,280,712.388,1,7.5,0,0,1,6,1,7.56,1,96.72,3,10.87,1,4.94,5,22.56,1,7.28,1,4.16,0,0,0,0,1,5.2,1,30.16,0,0,2,11.145,4,19.404,2,5.625,0,0,2,9.68,1,7.08,2,10.07,2,7.595,6,36.34,318,"1,022.28"
2116,157,620.893,0,0,4,18,4,11.625,0,0,3,69.9,3,25.98,4,26.68,2,9.97,0,0,0,0,2,25.535,0,0,1,10.66,2,101.18,1,27.86,2,29.52,1,99.855,0,0,4,72.48,2,10.07,2,7.15,2,10.02,2,13.51,2,7.5,200,"1,198.39"
2117,510,"1,348.95",5,21.14,4,19.88,2,4.04,1,4,5,27.46,5,21.445,1,3,6,26.8,3,13.18,2,4.56,2,7.72,1,3.27,3,18.98,5,28.93,3,17.41,0,0,4,27.72,3,10.23,2,20.28,6,28.04,4,25.595,6,46.31,1,5.225,4,32.73,588,"1,766.89"
2118,927,"2,056.99",1,5,5,20.47,3,11.095,7,30.185,2,9.77,2,8.5,3,13.72,3,12.705,3,23.36,5,30.87,4,16.98,7,35.655,2,5.04,5,22.46,4,14.54,3,12.2,8,31.89,6,24.775,8,40.01,8,44.235,6,32.17,6,33.13,5,31.18,5,29.14,"1,038","2,596.07"
2119,330,870.26,0,0,3,13.39,2,9.165,1,7.8,3,18.32,1,5.2,0,0,1,2.04,2,11.36,3,15.54,1,5.2,2,10.22,2,7.78,5,23.36,3,14.94,1,4.75,2,9,3,16.01,9,58.15,10,63.53,4,36.27,2,16,2,9.44,2,11.385,394,"1,239.11"
2120,600,"1,780.85",7,29.914,5,67.69,3,11.76,3,12.315,1,5.1,1,4.08,2,4.5,5,18.925,1,4.8,0,0,8,31.07,13,56.359,3,15.61,4,18.215,7,36.29,2,10.44,6,24.24,1,3.92,10,45.92,6,32.19,7,79.535,2,12.81,9,137.31,4,18.095,710,"2,461.94"
2121,781,"1,797.56",2,13.5,5,20.575,1,9.36,3,26.635,8,31.02,0,0,2,8.22,1,3.84,2,33.97,1,3.16,4,14.64,8,33.57,1,4.16,3,11.48,9,39.96,5,23.25,6,37.9,1,2.12,9,42.22,11,59.705,10,48.39,2,4.22,8,41.36,6,38.5,889,"2,349.31"
2122,867,"2,018.86",1,1.53,2,9.295,4,64.34,2,9.94,0,0,0,0,2,10.1,1,3.25,6,25.4,5,19.38,7,40.45,6,23.755,4,23.326,2,6.92,1,4.93,3,9.32,5,18.35,4,29.151,5,28.38,6,36.52,4,17.1,1,89.09,3,18.14,1,6.21,942,"2,513.73"
2123,1,3.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.42
2124,3,4.54,0,0,0,0,0,0,0,0,0,0,1,99.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,103.65
2125,821,"2,113.86",1,5,4,19.83,4,16.605,2,8,1,84.24,3,16.36,1,6.36,5,20.2,2,8.32,2,9.94,5,32.9,3,25.39,4,20.78,10,47.712,2,15.4,6,25.39,4,21.33,2,14.982,9,46.135,8,45.38,4,22.36,5,32.49,8,56.96,12,76.415,928,"2,792.34"
2126,917,"2,082.86",3,13.78,9,38.53,5,12.49,3,15.19,4,16.44,3,103.22,3,13.42,2,7.95,4,20.39,3,10.68,5,22.15,4,19.765,2,13,6,25.81,5,22.36,8,28.53,5,27.935,4,115.625,9,43.405,7,30.07,9,52.57,12,62.54,6,37.61,7,143.49,"1,045","2,979.81"
2127,26,485.435,0,0,1,3,1,2.5,0,0,0,0,0,0,1,20.8,1,99.9,1,4.05,0,0,1,12.21,0,0,0,0,0,0,0,0,1,3.12,0,0,2,6.14,2,6.975,1,5.2,0,0,1,2.43,0,0,3,111.205,42,762.965
2128,64,630.285,1,3,0,0,0,0,0,0,0,0,1,29.9,2,30.27,0,0,0,0,1,12.48,0,0,3,76.31,0,0,0,0,0,0,1,79.38,3,84.93,0,0,4,73.65,1,4.86,0,0,3,50.22,2,49.225,0,0,86,"1,124.51"
2130,80,305.57,1,5.2,0,0,0,0,2,9.52,0,0,0,0,0,0,0,0,0,0,2,7.036,1,15.36,4,31.77,0,0,1,5.12,2,4.807,2,9.98,2,5.5,1,7.04,0,0,0,0,0,0,0,0,1,5.7,0,0,99,412.603
2131,286,807.574,2,6.095,2,18.75,0,0,3,8.31,2,14.68,1,5.2,4,18.2,1,11.34,2,17.22,1,2.65,7,37.845,0,0,1,3.12,0,0,0,0,1,9.99,2,10.348,1,6.05,0,0,3,13.2,1,3.48,2,9.25,1,6.48,1,2.9,324,"1,012.68"
2132,223,565.408,0,0,2,5.955,1,4.75,2,9.885,1,5,1,4.845,2,6.25,3,11.46,3,6.56,1,4.9,3,14.558,0,0,0,0,2,12.76,1,3.12,2,9.47,0,0,1,5.61,1,5.2,3,15.13,0,0,0,0,4,24.375,4,15.565,260,730.801
2133,217,515.734,1,4,0,0,0,0,2,6.94,1,3.64,0,0,1,5.1,0,0,1,4,0,0,0,0,0,0,0,0,3,16.58,2,13.048,0,0,2,8.43,0,0,2,9.93,0,0,1,5.4,2,9.71,2,6.595,0,0,237,609.107
2134,215,706.485,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,3,0,0,0,0,0,0,3,13.08,0,0,0,0,0,0,2,5.64,2,11.35,0,0,0,0,1,4.125,1,5.225,227,758.905
2135,460,"1,365.99",2,7.2,4,18.65,3,22.6,5,32.94,0,0,0,0,2,11.12,4,15.825,3,18.08,4,21.88,3,15.35,2,9.72,4,26.27,1,5,5,39,3,13.56,3,16.77,5,125.22,4,36.25,10,64.45,0,0,5,34.15,3,15.06,9,56.015,544,"1,971.10"
2136,163,445.763,0,0,0,0,1,2.08,1,3.64,2,14.19,2,10.635,2,14.985,1,5,2,13.5,1,11.96,2,9.16,0,0,1,4.94,2,8.79,0,0,0,0,1,5.4,2,17.04,1,6.96,1,3,1,5.31,1,48.6,0,0,1,5.5,188,636.453
2137,467,"1,257.71",4,24.56,5,26.865,4,17.22,1,2.385,3,11.814,4,10.77,2,8.93,2,24.96,2,13.2,6,56.26,5,39.365,5,26.53,1,3.64,1,7.8,0,0,1,7.02,3,96.6,2,14.55,3,13.32,3,14.13,5,30.27,5,30.49,5,29.64,6,56.8,545,"1,824.83"
2138,213,634.615,0,0,1,2.5,0,0,1,29.9,3,107.92,1,7.95,1,5,0,0,0,0,1,2.25,2,7.22,3,10.78,1,5,2,7.53,3,11.215,0,0,3,12.58,3,15.39,2,15,1,6,3,13.49,0,0,3,16.28,2,26,249,936.62
2140,115,360.379,1,3.06,0,0,2,10.2,1,80.64,0,0,0,0,0,0,1,5,0,0,1,13,1,28.08,1,4.68,1,5.12,1,3,1,2.16,1,6.4,0,0,1,5.5,0,0,1,3.3,1,5.13,0,0,1,3.3,0,0,131,538.949
2141,834,"2,135.34",4,17.54,3,69.5,2,9.69,4,14.28,7,31.73,6,23.79,4,17.29,2,8.74,1,5.27,4,17.3,4,15.15,7,39.61,3,9.73,2,9.4,5,17,3,7.83,4,27.047,3,59.338,4,20.3,3,13.4,3,8.8,6,35.06,6,29.07,8,44.14,932,"2,686.35"
2142,477,"1,303.39",1,4.68,5,23.44,1,2.56,4,18.4,2,8.06,2,39.52,0,0,2,6.5,2,8,3,3.43,2,8.13,2,10.8,0,0,1,5.22,6,25.51,2,15.7,4,17.72,6,47.095,3,10.41,2,15.77,5,16.6,6,73.09,2,9.35,2,12.3,542,"1,685.68"
2143,296,761.7,1,5.2,3,12.38,1,5.61,2,13.12,1,3.06,2,6.095,3,16.64,1,10,5,38.4,1,5.22,4,25.18,3,11.69,0,0,2,6.02,1,6.24,1,1.62,3,13.69,1,3.5,3,11.7,3,29.16,4,25.15,0,0,1,5.94,5,114.375,347,"1,131.69"
2144,692,"2,176.83",4,30.5,4,19.55,4,12.95,1,2.55,5,95.44,2,6,2,24.4,8,58.15,5,17.18,3,16.34,4,18.08,8,153.38,3,14.13,8,125.8,7,177.49,3,11.695,5,66.58,2,9.62,5,21.88,3,15.55,1,2.16,2,9.69,2,11.85,3,41.655,786,"3,139.45"
2145,"2,504","6,273.31",9,32.36,11,58.24,7,124.65,11,62.985,16,74.965,12,45.57,6,23.71,10,36.275,13,67.232,21,84.85,17,81.06,19,81.385,10,34,18,84.93,15,65.405,19,84.065,18,84.999,9,47.56,14,94.375,19,91.45,12,61.708,15,91.535,9,56.01,11,55.88,"2,825","7,898.51"
